File,Review date
Routine_Care/Nursing for Arterial and Central Venous Lines.pdf,2011-03-07
Routine_Care/VTE_Prevention/TED Stocking Sizing.pdf,2011-06-07
Routine_Care/Faecal  incontinence skin care.pdf,2011-07-07
Breathing(Respiratory)/Equipment/IPPB using an ICU Ventilator.pdf,2011-12-07
Drugs/heparin_critical_care_only.pdf,2014-09-07
Routine_Care/Invasive Flush Systems.pdf,2014-10-07
GI_Liver_and_Transplant/Pancreatic Irrigation.pdf,2014-11-07
Neurological/Thiopentone levels.pdf,2014-12-07
Infection_and_sepsis/Ebola/Ebola.pdf,2015-03-07
GI_Liver_and_Transplant/Nasal bridle.pdf,2016-01-07
Breathing(Respiratory)/Equipment/AMBU AScope.pdf,2016-04-07
Cardiovascular/EZ-IO Intraosseus Access Device_pub_em.pdf,2016-08-07
Routine_Care/Central venous catheter removal.pdf,2017-01-07
Routine_Care/Tracheostomy_nursing_care.pdf,2017-08-07
Infection_and_sepsis/SARI/MERS-CoV Guideline.pdf,2017-09-07
Infection_and_sepsis/SARI/Suspected Influeza A Avian influenza H5N1 and SARS.pdf,2017-09-07
Infection_and_sepsis/SARI/Suspected Influeza A-H7N9 Guideline.pdf,2017-09-07
Airway/Critical care extubation checklist.pdf,2017-10-07
ECLS/Extra Corporeal Carbon Dioxide Removal.pdf,2017-10-07
Airway/Tracheostomy_Laryngectomy/Hospital_in-patients_with_a_Tracheostomy.pdf,2017-11-07
Trauma and Burns/Mangement of burns.pdf,2018-05-07
Drugs/diazepam_diazemuls.pdf,2018-07-07
Breathing(Respiratory)/salbutamol and ipratroprium MDI.pdf,2019-05-07
End_of_life_care/Reasons to report a death to PF.pdf,2019-05-07
Neurological/SOP -  Femoral site care.pdf,2019-06-07
Airway/Tracheostomy_Laryngectomy/Tracheostomy change in Critical Care.pdf,2019-06-07
Airway/Tracheostomy_Laryngectomy/Tracheostomy suctioning cleaning guideline.pdf,2019-06-07
Drugs/sodium_bicarbonate.pdf,2019-08-07
Post_op_care/Anticoagulation antiplatelet agents and epidural analgesia.pdf,2019-09-07
Post_op_care/Epidural top-up.pdf,2020-01-07
Covid-19/SJH/SJH COVID19 ED Intubation Action Card.pdf,2020-03-07
Covid-19/WGH/CoVid intubation checklist WGH.pdf,2020-03-07
Drugs/heparin for Haemofiltration.pdf,2020-03-07
Covid-19/SJH/SJH COVID19 ITU Intubation Action Card.pdf,2020-03-07
Diabetes_and_Glucose/Hyperosmolar Hyperglycaemic State.pdf,2020-03-07
Airway/Emergency intubation checklist_em_pub.pdf,2020-03-07
Drugs/fentanyl.pdf,2020-04-07
Airway/Tracheostomy_Laryngectomy/Tracheostomy guideline.pdf,2020-05-07
Covid-19/WGH/WGH_CT_Transfer_May.pdf,2020-07-07
Cardiovascular/GJNH Acute Heart Failure Referral Form.pdf,2020-08-07
Organ_donation/Donation after circulatory death.pdf,2020-11-07
Airway/Percutaneous tracheostomy checklist.pdf,2021-02-07
Delirium/Managing a Potentially Violent Patient.pdf,2021-05-07
Infection_and_sepsis/SOP Ultrasound Cleaning.pdf,2021-05-07
Delirium/Risk assessment posi mit.pdf,2021-05-07
Delirium/Drugs Causing Delirium and Agitiation.pdf,2021-06-07
