File,Review date,Source string
Routine_Care/Nursing for Arterial and Central Venous Lines.pdf,2011-03-29,review date: mar 2011  | review date: mar 2011  | review date: mar 2011  | review date: mar 2011  | review date: mar 2011  | review date: mar 2011  | review date: mar 2011  | review date: mar 2011 
Routine_Care/VTE_Prevention/TED Stocking Sizing.pdf,2011-06-29,next review by june 2011  | next review by june 2011 
Routine_Care/Faecal  incontinence skin care.pdf,2011-07-29,next review by july 2011  | next review by july 2011 
Breathing(Respiratory)/Equipment/IPPB using an ICU Ventilator.pdf,2011-12-29,review by december 2011  | review by december 2011 
Airway/Tracheostomy_Laryngectomy/Tracheostomy change in Critical Care.pdf,2012-06-29,next review :  june 2012  | next review :  june 2012 
Airway/Tracheostomy_Laryngectomy/Tracheostomy suctioning cleaning guideline.pdf,2012-06-29,next review :  june 2012  | next review :  june 2012 
Drugs/heparin_critical_care_only.pdf,2014-09-29,next review: 18 sep 2014 
Routine_Care/Invasive Flush Systems.pdf,2014-10-29,review date: october 2014  | review date: october 2014 
GI_Liver_and_Transplant/Pancreatic Irrigation.pdf,2014-11-29,reviewed nov 2012 next review nov 2014  | reviewed nov 2012 next review nov 2014  | reviewed nov 2012 next review nov 2014  | reviewed nov 2012 next review nov 2014 
End_of_life_care/End of life care in critical care.pdf,2014-12-29,review date: december 2014 date authorisation: 6/11/13 (divisional qit) | review date: december 2014 date authorisation: 6/11/13 (divisional qit)
Neurological/Thiopentone levels.pdf,2014-12-29,next review : 20 dec 2014  | next review : 20 dec 2014 
Infection_and_sepsis/SARI/Reporting influenza deaths.pdf,2015-01-29,next review :  jan 2015  | next review :  jan 2015 
Infection_and_sepsis/Ebola/Ebola.pdf,2015-03-29,review date: march 2015 date authorisation: oct 2014 | review date: march 2015 date authorisation: oct 2014
GI_Liver_and_Transplant/Nasal bridle.pdf,2016-01-29,review date jan 2016  | review date jan 2016 
Breathing(Respiratory)/Equipment/AMBU AScope.pdf,2016-04-29,review date: april 2016 date authorisation: april 2014 | review date: april 2016 date authorisation: april 2014
Infection_and_sepsis/SARI/Setup Guide for Jupiter Hoods.pdf,2016-04-29,next review :  april 2016  | next review :  april 2016 
Cardiovascular/EZ-IO Intraosseus Access Device_pub_em.pdf,2016-08-29,next review : august 2016  | next review : august 2016 
Routine_Care/Central venous catheter removal.pdf,2017-01-29,next review :  january 2017  | review need for cvc on a daily basis. early removal decreases risk of infection.  | next review :  january 2017 
Routine_Care/Tracheostomy_nursing_care.pdf,2017-08-29,review date: aug 2017 date authorisation: aug 2015 | national tracheostomy safety project. review date 1/4/16. feedback & resources at www.tracheostomy.org.uk  | review date: aug 2017 date authorisation: aug 2015 | national tracheostomy safety project. review date 1/4/16. feedback & resources at www.tracheostomy.org.uk 
Infection_and_sepsis/SARI/Suspected Influeza A-H7N9 Guideline.pdf,2017-09-29,review date: september 2017 date authorisation: september 2015 | review date: september 2017 date authorisation: september 2015
Infection_and_sepsis/SARI/Management of Patients with severe acute respiratory infection SARI.pdf,2017-09-29,review date: september 2017 date authorisation: september 2015 | review date: september 2017 date authorisation: september 2015
