File,Review date
Routine_Care/Nursing for Arterial and Central Venous Lines.pdf,2011-03-03
Routine_Care/VTE_Prevention/TED Stocking Sizing.pdf,2011-06-03
Routine_Care/Faecal  incontinence skin care.pdf,2011-07-03
Breathing(Respiratory)/Equipment/IPPB using an ICU Ventilator.pdf,2011-12-03
Drugs/heparin_critical_care_only.pdf,2014-09-03
Routine_Care/Invasive Flush Systems.pdf,2014-10-03
GI_Liver_and_Transplant/Pancreatic Irrigation.pdf,2014-11-03
Neurological/Thiopentone levels.pdf,2014-12-03
Infection_and_sepsis/Ebola/Ebola.pdf,2015-03-03
GI_Liver_and_Transplant/Nasal bridle.pdf,2016-01-03
Breathing(Respiratory)/Equipment/AMBU AScope.pdf,2016-04-03
Cardiovascular/EZ-IO Intraosseus Access Device_pub_em.pdf,2016-08-03
Routine_Care/Central venous catheter removal.pdf,2017-01-03
Routine_Care/Tracheostomy_nursing_care.pdf,2017-08-03
Infection_and_sepsis/SARI/MERS-CoV Guideline.pdf,2017-09-03
Infection_and_sepsis/SARI/Suspected Influeza A Avian influenza H5N1 and SARS.pdf,2017-09-03
Infection_and_sepsis/SARI/Suspected Influeza A-H7N9 Guideline.pdf,2017-09-03
Airway/Critical care extubation checklist.pdf,2017-10-03
ECLS/Extra Corporeal Carbon Dioxide Removal.pdf,2017-10-03
Airway/Tracheostomy_Laryngectomy/Hospital_in-patients_with_a_Tracheostomy.pdf,2017-11-03
Trauma and Burns/Mangement of burns.pdf,2018-05-03
Drugs/diazepam_diazemuls.pdf,2018-07-03
Breathing(Respiratory)/salbutamol and ipratroprium MDI.pdf,2019-05-03
End_of_life_care/Reasons to report a death to PF.pdf,2019-05-03
Airway/Tracheostomy_Laryngectomy/Tracheostomy suctioning cleaning guideline.pdf,2019-06-03
Airway/Tracheostomy_Laryngectomy/Tracheostomy change in Critical Care.pdf,2019-06-03
Neurological/SOP -  Femoral site care.pdf,2019-06-03
Drugs/sodium_bicarbonate.pdf,2019-08-03
Post_op_care/Anticoagulation antiplatelet agents and epidural analgesia.pdf,2019-09-03
Post_op_care/Epidural top-up.pdf,2020-01-03
Covid-19/SJH/SJH COVID19 ITU Intubation Action Card.pdf,2020-03-03
Diabetes_and_Glucose/Hyperosmolar Hyperglycaemic State.pdf,2020-03-03
Covid-19/SJH/SJH COVID19 ED Intubation Action Card.pdf,2020-03-03
Covid-19/WGH/CoVid intubation checklist WGH.pdf,2020-03-03
Drugs/heparin for Haemofiltration.pdf,2020-03-03
Airway/Emergency intubation checklist_em_pub.pdf,2020-03-03
Drugs/fentanyl.pdf,2020-04-03
Airway/Tracheostomy_Laryngectomy/Tracheostomy guideline.pdf,2020-05-03
Covid-19/WGH/WGH_CT_Transfer_May.pdf,2020-07-03
Cardiovascular/GJNH Acute Heart Failure Referral Form.pdf,2020-08-03
Organ_donation/Donation after circulatory death.pdf,2020-11-03
Airway/Percutaneous tracheostomy checklist.pdf,2021-02-03
Infection_and_sepsis/SOP Ultrasound Cleaning.pdf,2021-05-03
Delirium/Managing a Potentially Violent Patient.pdf,2021-05-03
Delirium/Risk assessment posi mit.pdf,2021-05-03
Airway/Tracheostomy_Laryngectomy/Tracheostomy safety box contents.pdf,2021-06-03
Delirium/Drugs Causing Delirium and Agitiation.pdf,2021-06-03
GI_Liver_and_Transplant/Treatment of constipation.pdf,2021-06-03
Breathing(Respiratory)/HFNO.pdf,2021-06-03
GI_Liver_and_Transplant/Abdominal pressure measurement.pdf,2021-06-03
Neurological/Sub arachnoid haemorrhage management.pdf,2021-06-03
Airway/Anticipated difficult airway tool.pdf,2021-06-03
Airway/McGrath Mac.pdf,2021-06-03
Drugs/ketamine_in_asthma.pdf,2021-06-03
End_of_life_care/Documentation following death.pdf,2021-09-03
Drugs/zanamivir.pdf,2021-12-03
GI_Liver_and_Transplant/stress ulcer prophylaxis.pdf,2021-12-03
Routine_Care/bBraun Spaceplus Failure EMERGENCY ACTION CARD_em.pdf,2022-01-03
Drugs/phosphate.pdf,2022-01-03
Drugs/insulin.pdf,2022-03-03
Breathing(Respiratory)/Equipment/HFNO Set Up.pdf,2022-03-03
Breathing(Respiratory)/Inhaled Nitrous Oxide.pdf,2022-04-03
Breathing(Respiratory)/Equipment/APRV.pdf,2022-05-03
Cardiovascular/Steroids for Septic Shock.pdf,2022-05-03
Post_op_care/Epidural Haematoma.pdf,2022-06-03
Breathing(Respiratory)/Equipment/T piece Y piece.pdf,2022-06-03
Neurological/SOP for review of Neurosurgical patients in ITU by neurosurgical team.pdf,2022-06-03
Policies_and_admin/General Critical Care Interaction with HEPMA_pub.pdf,2022-07-03
Drugs/atracurium.pdf,2022-07-03
Infection_and_sepsis/BAL and MiniBAL standardised procedure.pdf,2022-07-03
Drugs/midazolam and thiopental levels.pdf,2022-08-03
Drugs/all IV drug infusion information.pdf,2022-09-03
Breathing(Respiratory)/Equipment/HFNO through ventilator.pdf,2022-10-03
Post_op_care/Adult Scoliosis Spinal Surgery Post-Op Care.pdf,2022-11-03
Routine_Care/VTE_Prevention/Dalteparin_thromboprophylaxis.pdf,2022-11-03
Post_op_care/Post op care pharyngo-laryngo-oesphagectomy PLOG.pdf,2022-12-03
GI_Liver_and_Transplant/Nasogastric feeding protocol.pdf,2023-01-03
Drugs/Antibiotic doses in CVVHD.pdf,2023-02-03
Diabetes_and_Glucose/Intravenous Insulin Therapy (not for DKA or HHS).pdf,2023-02-03
Drugs/calcium.pdf,2023-04-03
GI_Liver_and_Transplant/Jejunostomy feeding protocol.pdf,2023-04-03
ECLS/RIE ECLS Anti Xa Protocol.pdf,2023-04-03
GI_Liver_and_Transplant/Nasojejunal feeding protocol.pdf,2023-04-03
Drugs/vasopressin organ donation.pdf,2023-05-03
Infection_and_sepsis/Winter Infections Stepdown Guidance.pdf,2023-05-03
