File,Review date,Source string
Routine_Care/Nursing for Arterial and Central Venous Lines.pdf,2011-03-18,review date: mar 2011 insertion and care of arterial and central venous lines  | review date: mar 2011 care of arterial line: | review date: mar 2011 insertion of central line/pa catheter | review date: mar 2011 pulmonary artery catheter: | review date: mar 2011 insertion and care of arterial and central venous lines  | review date: mar 2011 care of arterial line: | review date: mar 2011 insertion of central line/pa catheter | review date: mar 2011 pulmonary artery catheter:
Routine_Care/VTE_Prevention/TED Stocking Sizing.pdf,2011-06-18,next review by june 2011  | next review by june 2011 
Routine_Care/Faecal  incontinence skin care.pdf,2011-07-18,next review by july 2011 l                  skin intact • clean with ph cleanser. no soap. | next review by july 2011 l                  skin intact • clean with ph cleanser. no soap.
Breathing(Respiratory)/Equipment/IPPB using an ICU Ventilator.pdf,2011-12-18,review by december 2011 ippb using an icu ventilator  | review by december 2011 
Drugs/heparin_critical_care_only.pdf,2014-09-18,reviewed on: next review: 18 sep 2014 .
Routine_Care/Invasive Flush Systems.pdf,2014-10-18,"review date: october 2014 pressurised infusion systems used to maintain paten cy of arterial, central venous | review date: october 2014 pressurised infusion systems used to maintain paten cy of arterial, central venous"
GI_Liver_and_Transplant/Pancreatic Irrigation.pdf,2014-11-18,reviewed nov 2012 next review nov 2014  | reviewed nov 2012 next review nov 2014  | reviewed nov 2012 next review nov 2014  | reviewed nov 2012 next review nov 2014 
Neurological/Thiopentone levels.pdf,2014-12-18,reviewed on: next review : 20 dec 2014 . | reviewed on: next review : 20 dec 2014 .
Infection_and_sepsis/Ebola/Ebola.pdf,2015-03-18,status draft/final: final  review date: march 2015 authoriser: ebola preparedness date authorisation: oct 2014 | status draft/final: final  review date: march 2015 authoriser: ebola preparedness date authorisation: oct 2014
GI_Liver_and_Transplant/Nasal bridle.pdf,2016-01-18,review date jan 2016 . | review date jan 2016 .
Breathing(Respiratory)/Equipment/AMBU AScope.pdf,2016-04-18,status draft/final: final review date: april 2016 authoriser: qit date authorisation: april 2014 | status draft/final: final review date: april 2016 authoriser: qit date authorisation: april 2014
Cardiovascular/EZ-IO Intraosseus Access Device_pub_em.pdf,2016-08-18,reviewed on: next review : august 2016 critical care guidelines | reviewed on: next review : august 2016 critical care guidelines
Routine_Care/Central venous catheter removal.pdf,2017-01-18,reviewed on: next review :  january 2017  | review need for cvc on a daily basis. early removal  decreases risk of infection. prior to line removal check patient’s clotting and platelet count. continue with line removal if norma l/close to | reviewed on: next review :  january 2017 
Routine_Care/Tracheostomy_nursing_care.pdf,2017-08-18,"status draft/final: draft review date: aug 2017 authoriser: qit, late date authorisation: aug 2015 | national tracheostomy safety project. review date 1/4/16. feedback & resources at www.tracheostomy.org.uk critical care guidelines for critical care use only | status draft/final: draft review date: aug 2017 authoriser: qit, late date authorisation: aug 2015 | national tracheostomy safety project. review date 1/4/16. feedback & resources at www.tracheostomy.org.uk critical care guidelines for critical care use only"
ECLS/Extra Corporeal Carbon Dioxide Removal.pdf,2017-10-18,"status draft/final: final  review date: oct 2017 authoriser: qit, ecls group  date authorisation: oct 2015 | review september 2016  | status draft/final: final  review date: oct 2017 authoriser: qit, ecls group  date authorisation: oct 2015"
Airway/Critical care extubation checklist.pdf,2017-10-18,review date: oct 2017 planning 1 2 3 4 | review date: oct 2017 planning 1 2 3 4
Airway/Tracheostomy_Laryngectomy/Hospital_in-patients_with_a_Tracheostomy.pdf,2017-11-18,"status draft/final: final  review date: nov 2017 authoriser: qit, late  date authorisation: nov 2015 | status draft/final: final  review date: nov 2017 authoriser: qit, late  date authorisation: nov 2015"
Drugs/diazepam_diazemuls.pdf,2018-07-18,reviewed on:  next review : july 2018 . | reviewed on:  next review : july 2018 .
End_of_life_care/Reasons to report a death to PF.pdf,2019-05-18,review (as defined by healthcare improvement scotland) last revised: may2019 | regarding certification issues. in such circumstances a pathologist wi ll review the notification of death form and the proffered cause of death and provide
Breathing(Respiratory)/salbutamol and ipratroprium MDI.pdf,2019-05-18,reviewed on:  next review : may 2019 . | reviewed on:  next review : may 2019 .
Airway/Tracheostomy_Laryngectomy/Tracheostomy change in Critical Care.pdf,2019-06-18,reviewed on:  june 2019  next review :  june 2012 potential pitfalls | reviewed on:  june 2019  next review :  june 2012 potential pitfalls
Airway/Tracheostomy_Laryngectomy/Tracheostomy suctioning cleaning guideline.pdf,2019-06-18,reviewed on:  june 2019  next review :  june 2012  | reviewed on:  june 2019  next review :  june 2012 
Neurological/SOP -  Femoral site care.pdf,2019-06-18,1st  review due      01 june 2019 
Drugs/sodium_bicarbonate.pdf,2019-08-18,reviewed on:  next review : august 2019 . | reviewed on:  next review : august 2019 .
